key|german|english|source|status
operation.ended.text|Soll der Einsatz wirklich beendet werden? Danach k\u00F6nnen keine weiteren Patientendokumentationen erstellt werden.|Should the operation really be ended? No further patient documentation can be created afterward.|ApplicationResources|OK
month|Monate|Month|ApplicationResources|OK
questionaire|Fragebogen|Questionaire|ApplicationResources|OK
month.summary.title|Monat|Month|ApplicationResources|OK
request|Anfragen|Request|ApplicationResources|OK
monthClosed.by|"Monat geschlossen von"|Month closed by|ApplicationResources|OK
shift|Bereitschaftsdienst|Shift|ApplicationResources|OK
operation.ended.text|Soll der Einsatz wirklich beendet werden? Danach k\u00F6nnen keine weiteren Patientendokumentationen erstellt werden.|Should the operation really be ended? No further patient documentation can be created afterward.|ApplicationResources|OK
shiftPlan|Bereitschaftsplan|Shift-Plan|ApplicationResources|OK
questionaire|Fragebogen|Questionaire|ApplicationResources|OK
templateExportDlg.title|Exportieren|Export|ApplicationResources|OK
request|Anfragen|Request|ApplicationResources|OK
year|Jahr|Year|ApplicationResources|OK
shift|Bereitschaftsdienst|Shift|ApplicationResources|OK
shiftPlan|Bereitschaftsplan|Shift-Plan|ApplicationResources|OK
templateExportDlg.title|Exportieren|Export|ApplicationResources|OK
year|Jahr|Year|ApplicationResources|OK
